7/1/2022 5:06:45 PM, OFFLINE MODE ON
7/1/2022 5:08:03 PM, ONLINE MODE ON
7/1/2022 5:08:18 PM, RESET COUNTER
7/1/2022 5:10:08 PM, OFFLINE MODE ON
7/1/2022 5:18:33 PM, JOG MODE OFF
7/1/2022 5:18:33 PM, JOG MODE ON
7/1/2022 5:18:52 PM, JOG MODE OFF
7/1/2022 5:18:52 PM, JOG MODE ON
7/1/2022 5:19:27 PM, SCANNER#1 CONNECT NG
7/1/2022 5:19:27 PM, SCANNER#2 CONNECT NG
7/1/2022 5:19:40 PM, JOG MODE OFF
7/1/2022 5:19:40 PM, JOG MODE ON
7/1/2022 5:19:42 PM, FORM CLOSED
7/1/2022 5:19:46 PM, MES ON
7/1/2022 5:19:47 PM, PLC CONNECT OK
7/1/2022 5:19:48 PM, LOCK ON
7/1/2022 5:19:49 PM, SCANNER#1 CONNECT OK
7/1/2022 5:19:49 PM, SCANNER#2 CONNECT OK
7/1/2022 5:19:56 PM, LOAD TO PLC OK
7/1/2022 5:20:11 PM, OFFLINE MODE ON
7/1/2022 5:30:53 PM, FORM CLOSED
7/1/2022 5:46:11 PM, MES ON
7/1/2022 5:46:14 PM, PLC CONNECT NG
7/1/2022 5:46:15 PM, LOCK ON
7/1/2022 5:46:15 PM, FORM OPEN COMPLETED
7/1/2022 5:46:21 PM, FORM CLOSED
7/1/2022 5:46:42 PM, MES ON
7/1/2022 5:46:45 PM, PLC CONNECT NG
7/1/2022 5:50:26 PM, LOCK ON
7/1/2022 5:50:26 PM, FORM OPEN COMPLETED
7/1/2022 5:50:47 PM, SCANNER#1 CONNECT NG
7/1/2022 5:51:08 PM, SCANNER#2 CONNECT NG
7/1/2022 5:56:20 PM, PLC DEVICE CHANGE
7/1/2022 5:56:21 PM, PLC DEVICE CHANGE
7/1/2022 5:56:21 PM, PLC DEVICE CHANGE
7/1/2022 5:56:21 PM, PLC DEVICE CHANGE
7/1/2022 5:56:21 PM, PLC DEVICE CHANGE
7/1/2022 5:56:21 PM, PLC DEVICE CHANGE
7/1/2022 5:59:16 PM, JOG MODE OFF
7/1/2022 5:59:16 PM, JOG MODE ON
7/1/2022 5:59:20 PM, FORM CLOSED
7/5/2022 8:23:59 AM, MES ON
7/5/2022 8:24:02 AM, PLC CONNECT NG
7/5/2022 8:24:04 AM, LOCK ON
7/5/2022 8:24:04 AM, FORM OPEN COMPLETED
7/5/2022 8:24:25 AM, SCANNER#1 CONNECT NG
7/5/2022 8:24:34 AM, FORM CLOSED
7/5/2022 8:36:27 AM, MES ON
7/5/2022 8:36:30 AM, PLC CONNECT NG
7/5/2022 8:36:31 AM, LOCK ON
7/5/2022 8:36:31 AM, FORM OPEN COMPLETED
7/5/2022 8:36:52 AM, SCANNER#1 CONNECT NG
7/5/2022 8:36:56 AM, LOAD TO PLC OK
7/5/2022 8:37:03 AM, MODEL SAVE OK
7/5/2022 8:37:06 AM, FORM CLOSED
7/5/2022 8:37:11 AM, MES ON
